id,group_id,name,name_kana,mvp,zissen_man_player_id,zissen_man_rank_group,zissen_man_rank_lastyear,zissen_man_rank_total,zissen_man_comment,hokei_man_player_id,hokei_man_rank_group,hokei_man_rank_lastyear,hokei_man_rank_total,hokei_man_comment,zissen_woman_player_id,zissen_woman_rank_group,zissen_woman_rank_lastyear,zissen_woman_rank_total,zissen_woman_comment,hokei_woman_player_id,hokei_woman_rank_group,hokei_woman_rank_lastyear,hokei_woman_rank_total,hokei_woman_comment
135,12,德永清花,トクナガサヤカ,,,,,,,,,,,,10,3,,,,,,,,
136,12,栗山真衣子,クリヤママイコ,,,,,,,,,,,,,,,,,15,1,,1,R8 城西大会個人法形 2位
137,12,杉山碧泉,スギヤマアオイ,,,,,,,,,,,,,,,,,16,2,,,
138,12,木畑咲璃,キバタサリ,,,,,,,,,,,,,,,,,17,3,,,
139,12,広谷勇気,ヒロタニユウキ,,,,,,,,,,,,,,,,,,,,,
140,12,鈴木颯,スズキハヤテ,,,,,,,,,,,,,,,,,,,,,
141,12,髙橋大佑,タカハシダイスケ,,,,,,,,,,,,,,,,,,,,,
142,12,浅野航,アサノワタル,,,,,,,,,,,,,,,,,,,,,
143,12,髙良京一郎,タカラキョウイチロウ,,,,,,,,,,,,,,,,,,,,,
144,12,渡邊風花,ワタナベフウカ,,,,,,,,,,,,,,,,,,,,,
145,12,照井和音,テルイカズネ,,,,,,,,,,,,,,,,,,,,,
146,12,𠮷田ゆう,ヨシダユウ,,,,,,,,,,,,,,,,,,,,,
147,12,友利寧唯,トモリネイ,,,,,,,,,,,,,,,,,,,,,
148,12,松本菜々美,マツモトナナミ,,,,,,,,,,,,,,,,,,,,,
149,12,堀ゆず葉,ホリユズハ,,,,,,,,,,,,,,,,,,,,,
150,12,沢田明太郎,サワタメイタロウ,,,,,,,,,,,,,,,,,,,,,
151,12,林嵩人,ハヤシタカト,,,,,,,,,,,,,,,,,,,,,
152,12,中川惺太,ナカガワセイタ,,,,,,,,,,,,,,,,,,,,,
153,12,藤井祐樹,フジイユウキ,,,,,,,,,,,,,,,,,,,,,
154,12,原匠,ハラタクミ,,,,,,,,,,,,,,,,,,,,,
155,12,中島陽向,ナカジマヒナタ,,,,,,,,,,,,,,,,,,,,,
156,12,今泉有,イマイズミアリ,,,,,,,,,,,,,,,,,,,,,
157,12,人見碧,ヒトミアオイ,,,,,,,,,,,,,,,,,,,,,
158,12,前田ひより,マエダヒヨリ,,,,,,,,,,,,,,,,,,,,,
159,12,百瀬初香,モモセウイカ,,,,,,,,,,,,,,,,,,,,,
160,12,村岡薫,ムラオカカオル,,,,,,,,,,,,,,,,,,,,,
161,12,稲葉駿之介,イナバシュンノスケ,,,,,,,,,,,,,,,,,,,,,
162,13,久保敦資,クボアツシ,,16,2,,,,23,1,,,,,,,,,,,,,
163,13,金田庄泰,カネダショウタ,,17,1,,,,24,,1,1,R7 学生大会個人法形 優勝,,,,,,,,,,
164,13,松田ゆり子,マツダユリコ,,,,,,,,,,,,,,,,,18,1,,8,R8 城西大会段位個人法形 4位
165,13,青野美穂,アオノミホ,,,,,,,,,,,,,,,,,,,,,
166,13,伊禮裕花,イレイユウカ,,,,,,,,,,,,,,,,,19,2,,,
167,13,辻内歩乃里,ツジウチホノリ,,,,,,,,,,,,11,1,,,,20,3,,,
168,13,佐藤心咲,サトウミサ,,,,,,,,,,,,,,,,,,,,,
169,13,角道吾子,カクドウアコ,,,,,,,,,,,,,,,,,,,,,
170,13,塚田梨乃,ツカダリノ,,,,,,,,,,,,,,,,,,,,,
171,13,鈴木舜一朗,スズキシュンイチロウ,,18,3,,,,25,2,,,,,,,,,,,,,
172,13,伊藤真菜,イトウマナ,,,,,,,,,,,,,,,,,,,,,
173,13,渡邉柚穂,ワタナベユズホ,,,,,,,,,,,,,,,,,,,,,
174,13,野田百花,ノダモモカ,,,,,,,,,,,,,,,,,,,,,
175,13,小松佳奈恵,コマツカナエ,,,,,,,,,,,,,,,,,,,,,
176,13,杉戸太郎,スギトタロウ,,,,,,,,,,,,,,,,,,,,,
177,14,兼石諒,カネイシリョウ,,19,3,,,,,,,,,,,,,,,,,,
178,14,石坂仁,イシザカジン,,20,2,,,,,,,,,,,,,,,,,,
179,14,奥野駿之介,オクノシュンノスケ,,21,1,,,,,,,,,,,,,,,,,,
180,14,天谷知香,テンヤチカ,,,,,,,,,,,,12,2,,,,,,,,
181,14,藤那実子,フジナミコ,,,,,,,,,,,,13,3,,,,,,,,
182,14,進蒼,シンアオイ,,,,,,,,,,,,14,1,,,,,,,,
183,14,佐々木伊織,ササキイオリ,,,,,,,26,1,4,4,第58回全国学生躰道優勝大会男子個人法形競技 4位,,,,,,,,,,
184,14,西垣龍真,ニシガキリョウマ,,,,,,,27,2,,,,,,,,,,,,,
185,14,早川昌樹,ハヤカワマサキ,,,,,,,28,3,,,,,,,,,,,,,
